日付,担当者名,アカウントID,顧客名,業種,営業方法,ステータス,先方担当者,電話番号,メモ
2025/11/05,Yamashita Minami,neit_jun,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,longhair_saito,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,keisuke_abbey,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,takumi_platina,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,_nobeashi_,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,mitsuyu_iki,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,tomoya.shibata_,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,sota.abbey,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,yuma0629,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,hiroki_okawa,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,abbey_tachi,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,log_ryotakahashi,,美容サロン,,未返信,,,
2025/11/05,Yamasaki Miyu,exelcodiamond_official,,有形商材,,未返信,,,
2025/11/05,Yamasaki Miyu,ith_marriage,アーツアンドクラフツ株式会社,有形商材,フォーム,未返信,,,
2025/11/05,Yamasaki Miyu,dolce._.photography,,有形商材,電話,未返信,,,
2025/11/05,Yamasaki Miyu,studiokoara_nabari,,有形商材,電話,未返信,,,
2025/11/05,Yamasaki Miyu,happy_photo_studio,,有形商材,電話,未返信,,,
2025/11/05,Yamashita Minami,tanaka.skin,,美容サロン,電話,未返信,,,
2025/11/05,Yamashita Minami,kisui_clinic,,美容サロン,電話,未返信,,,
2025/11/05,Yamashita Minami,koizumikeiseiclinic,,美容サロン,電話,未返信,,,
2025/11/05,Yamashita Minami,miizh_rv,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,hikaru_0019,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,aren.nodera,,美容サロン,,未返信,,,aren.nodeから変更？
2025/11/05,Yamashita Minami,ryosei_fujishima,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,slmss_18,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,ryuya_takenouchi,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,rintaro_sato0,,美容サロン,,未返信,,,
2025/11/05,Ishiguro Anna,michi.maintenance,,無形商材,電話,未返信,,,
2025/11/05,Ishiguro Anna,iyashima_senka_,,無形商材,電話,未返信,,,
2025/11/05,Ishiguro Anna,rean.2426,,無形商材,電話,未返信,,,
2025/11/05,Ishiguro Anna,kuronekoheddo,,無形商材,電話,未返信,,,
2025/11/05,Ishiguro Anna,relief326,,無形商材,電話,未返信,,,
2025/11/05,Kim Jeyi,icoia_hair,,美容サロン,LINE,未返信,,,
2025/11/05,Kim Jeyi,hairsalon._teteo,,美容サロン,LINE,未返信,,,
2025/11/05,Kim Jeyi,hair_care_salon_silk,,美容サロン,LINE,未返信,,,
2025/11/05,Kim Jeyi,oph_610,,有形商材,LINE,未返信,,,
2025/11/05,Kim Jeyi,loca_naho,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,butter_hair.salon,,美容サロン,LINE,未返信,,,
2025/11/05,Kim Jeyi,atelierhairart,,美容サロン,LINE,未返信,,,
2025/11/05,Kim Jeyi,firm_kestra_kai,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,three_iyosaijo,,美容サロン,LINE,未返信,,,
2025/11/05,Kim Jeyi,coiffeursoleil,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,hair_salon.shu,,美容サロン,LINE,未返信,,,
